conta,sum,outlier
10546569.0,80.0,Normal
10546571.0,80.0,Normal
10546572.0,80.0,Normal
10546716.0,80.0,Normal
10546719.0,80.0,Normal
10546724.0,80.0,Normal
10546779.0,80.0,Normal
10546862.0,80.0,Normal
10546911.0,80.0,Normal
10547407.0,130.0,Normal
10547482.0,130.0,Normal
10547506.0,80.0,Normal
10547508.0,80.0,Normal
10547521.0,80.0,Normal
10547524.0,80.0,Normal
10547527.0,80.0,Normal
10547532.0,80.0,Normal
10547534.0,80.0,Normal
10547541.0,80.0,Normal
10547543.0,80.0,Normal
10547544.0,80.0,Normal
10547569.0,80.0,Normal
10547570.0,80.0,Normal
10547571.0,80.0,Normal
10547792.0,84.0,Normal
10548115.0,120.0,Normal
10548148.0,120.0,Normal
10548255.0,80.0,Normal
10548258.0,80.0,Normal
10548264.0,80.0,Normal
10548274.0,80.0,Normal
10548286.0,120.0,Normal
10548304.0,80.0,Normal
10548307.0,120.0,Normal
10548518.0,80.0,Normal
10548525.0,80.0,Normal
10548554.0,80.0,Normal
10548683.0,80.0,Normal
10548851.0,80.0,Normal
10548908.0,157.31,Normal
10549103.0,120.0,Normal
10549584.0,80.0,Normal
10549588.0,80.0,Normal
10549675.0,80.0,Normal
10549680.0,80.0,Normal
10549689.0,80.0,Normal
10549690.0,80.0,Normal
10549691.0,80.0,Normal
10549765.0,80.0,Normal
10549775.0,80.0,Normal
10549781.0,80.0,Normal
10549790.0,80.0,Normal
10549807.0,80.0,Normal
10549810.0,80.0,Normal
10549813.0,80.0,Normal
10550659.0,80.0,Normal
10550766.0,80.0,Normal
10550938.0,80.0,Normal
10550940.0,80.0,Normal
10550944.0,80.0,Normal
10550951.0,80.0,Normal
10551492.0,80.0,Normal
10551493.0,80.0,Normal
10551494.0,80.0,Normal
10551518.0,80.0,Normal
10551519.0,80.0,Normal
10551539.0,80.0,Normal
10551542.0,80.0,Normal
10551545.0,80.0,Normal
